"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа с негативными кредами","479","negativeLogin","Surefire suite","Thu May 28 09:30:59 UTC 2026","passed","Thu May 28 09:30:59 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка входа с позитивными кредами","646","Проверка входа с позитивными кредами","Surefire suite","Thu May 28 09:30:56 UTC 2026","passed","Thu May 28 09:30:56 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositive"
"Проверка чекаута с позитивными данными","3908","Проверка чекаута с позитивными данными","Surefire suite","Thu May 28 09:30:46 UTC 2026","passed","Thu May 28 09:30:50 UTC 2026","tests.CheckoutStep1Test","Surefire test","tests.CheckoutStep1Test","checkoutWithPositive"
"Проверка чекаута c негативными данными","831","negativeCheckout","Surefire suite","Thu May 28 09:30:55 UTC 2026","passed","Thu May 28 09:30:55 UTC 2026","tests.CheckoutStep1Test","Surefire test","tests.CheckoutStep1Test","negativeCheckout"
"Проверка чекаута c негативными данными","866","negativeCheckout","Surefire suite","Thu May 28 09:30:52 UTC 2026","passed","Thu May 28 09:30:53 UTC 2026","tests.CheckoutStep1Test","Surefire test","tests.CheckoutStep1Test","negativeCheckout"
"Проверка чекаута c негативными данными","865","negativeCheckout","Surefire suite","Thu May 28 09:30:53 UTC 2026","passed","Thu May 28 09:30:54 UTC 2026","tests.CheckoutStep1Test","Surefire test","tests.CheckoutStep1Test","negativeCheckout"
"Проверка добавления товара в корзину","669","Проверка добавления товара в корзину","Surefire suite","Thu May 28 09:30:59 UTC 2026","passed","Thu May 28 09:31:00 UTC 2026","tests.CartTest","Surefire test","tests.CartTest","addToCart"
"Проверка входа с негативными кредами","469","negativeLogin","Surefire suite","Thu May 28 09:30:57 UTC 2026","passed","Thu May 28 09:30:57 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка входа с негативными кредами","469","negativeLogin","Surefire suite","Thu May 28 09:30:58 UTC 2026","passed","Thu May 28 09:30:58 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка чекаута c негативными данными","872","negativeCheckout","Surefire suite","Thu May 28 09:30:51 UTC 2026","passed","Thu May 28 09:30:52 UTC 2026","tests.CheckoutStep1Test","Surefire test","tests.CheckoutStep1Test","negativeCheckout"
